comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
split_reliability,aligned,42,excited,reliability,,,,,,,,,0.6797337165220766,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,43,excited,reliability,,,,,,,,,0.6759539130663704,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,44,excited,reliability,,,,,,,,,0.6753801286904905,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,45,excited,reliability,,,,,,,,,0.677092007791807,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,46,excited,reliability,,,,,,,,,0.688380133148141,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,47,excited,reliability,,,,,,,,,0.7075358011975084,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,0,enthusiastic,reliability,,,,,,,,,0.31051672514777445,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,1,enthusiastic,reliability,,,,,,,,,0.25138630926633704,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,2,enthusiastic,reliability,,,,,,,,,0.2522484833114629,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,3,enthusiastic,reliability,,,,,,,,,0.2550688851800335,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,4,enthusiastic,reliability,,,,,,,,,0.2785144014376153,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,5,enthusiastic,reliability,,,,,,,,,0.28793349172074306,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,6,enthusiastic,reliability,,,,,,,,,0.36207618541919534,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,7,enthusiastic,reliability,,,,,,,,,0.42069645015312596,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,8,enthusiastic,reliability,,,,,,,,,0.44346685625180915,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,9,enthusiastic,reliability,,,,,,,,,0.5009319144150159,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,10,enthusiastic,reliability,,,,,,,,,0.5737809823142849,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,11,enthusiastic,reliability,,,,,,,,,0.5451565298146623,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,12,enthusiastic,reliability,,,,,,,,,0.5469450866993536,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,13,enthusiastic,reliability,,,,,,,,,0.5747700153413583,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,14,enthusiastic,reliability,,,,,,,,,0.5709256987458593,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,15,enthusiastic,reliability,,,,,,,,,0.6089886203176227,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,16,enthusiastic,reliability,,,,,,,,,0.6367548114086224,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,17,enthusiastic,reliability,,,,,,,,,0.6415400544656574,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,18,enthusiastic,reliability,,,,,,,,,0.6482193503268465,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,19,enthusiastic,reliability,,,,,,,,,0.6504704546194324,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,20,enthusiastic,reliability,,,,,,,,,0.6625709677147015,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,21,enthusiastic,reliability,,,,,,,,,0.6688865490188188,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,22,enthusiastic,reliability,,,,,,,,,0.6733883853333583,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,23,enthusiastic,reliability,,,,,,,,,0.6808841939631917,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,24,enthusiastic,reliability,,,,,,,,,0.6743051256444572,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,25,enthusiastic,reliability,,,,,,,,,0.6663087962300467,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,26,enthusiastic,reliability,,,,,,,,,0.6581126689297463,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,27,enthusiastic,reliability,,,,,,,,,0.659889739907966,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,28,enthusiastic,reliability,,,,,,,,,0.6339135011538017,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,29,enthusiastic,reliability,,,,,,,,,0.6225421021626011,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,30,enthusiastic,reliability,,,,,,,,,0.6387990207371573,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,31,enthusiastic,reliability,,,,,,,,,0.6700724995518874,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,32,enthusiastic,reliability,,,,,,,,,0.6602752820758654,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,33,enthusiastic,reliability,,,,,,,,,0.6572210108373763,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,34,enthusiastic,reliability,,,,,,,,,0.6586483765009019,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,35,enthusiastic,reliability,,,,,,,,,0.6513758384753745,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,36,enthusiastic,reliability,,,,,,,,,0.620595259994177,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,37,enthusiastic,reliability,,,,,,,,,0.6169310647986678,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,38,enthusiastic,reliability,,,,,,,,,0.6258435181859934,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,39,enthusiastic,reliability,,,,,,,,,0.622651137626361,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,40,enthusiastic,reliability,,,,,,,,,0.6417798527610099,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,41,enthusiastic,reliability,,,,,,,,,0.6502499526105113,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,42,enthusiastic,reliability,,,,,,,,,0.6470105864569281,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,43,enthusiastic,reliability,,,,,,,,,0.652236905403319,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,44,enthusiastic,reliability,,,,,,,,,0.6568742471452136,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,45,enthusiastic,reliability,,,,,,,,,0.6445734447957512,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,46,enthusiastic,reliability,,,,,,,,,0.6117819662601061,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,47,enthusiastic,reliability,,,,,,,,,0.6285613035461537,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,0,joyful,reliability,,,,,,,,,0.6368988152136852,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,1,joyful,reliability,,,,,,,,,0.6323858194377033,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,2,joyful,reliability,,,,,,,,,0.6275900577482291,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,3,joyful,reliability,,,,,,,,,0.6498527435605361,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,4,joyful,reliability,,,,,,,,,0.6662691482944917,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,5,joyful,reliability,,,,,,,,,0.660797558382111,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,6,joyful,reliability,,,,,,,,,0.6910238098340112,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,7,joyful,reliability,,,,,,,,,0.7109826085039901,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,8,joyful,reliability,,,,,,,,,0.7266988715967367,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,9,joyful,reliability,,,,,,,,,0.7471852063100444,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,10,joyful,reliability,,,,,,,,,0.7987440335333379,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,11,joyful,reliability,,,,,,,,,0.7866949700874504,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,12,joyful,reliability,,,,,,,,,0.776353251023061,raw,,,True,True,topic split A (0-9) versus split B (10-19)
