pca_status,layer,median_cosine,n_emotions
cleaned_aligned_basis,0,0.0421476261690259,6
cleaned_aligned_basis,1,0.050046246498823166,6
cleaned_aligned_basis,2,0.07415430247783661,6
cleaned_aligned_basis,3,0.0658840499818325,6
cleaned_aligned_basis,4,0.054926855489611626,6
cleaned_aligned_basis,5,0.03937960974872112,6
cleaned_aligned_basis,6,0.008552630431950092,6
cleaned_aligned_basis,7,0.01571538858115673,6
cleaned_aligned_basis,8,0.027486011385917664,6
cleaned_aligned_basis,9,-0.006783478893339634,6
cleaned_aligned_basis,10,0.00398907158523798,6
cleaned_aligned_basis,11,0.002795657142996788,6
cleaned_aligned_basis,12,0.00817057304084301,6
cleaned_aligned_basis,13,0.0012325160205364227,6
cleaned_aligned_basis,14,-0.009399363305419683,6
cleaned_aligned_basis,15,-0.01627567270770669,6
cleaned_aligned_basis,16,-0.0012635057792067528,6
cleaned_aligned_basis,17,-0.018263584468513727,6
cleaned_aligned_basis,18,-0.004960326012223959,6
cleaned_aligned_basis,19,-0.014515228569507599,6
cleaned_aligned_basis,20,-0.013815570622682571,6
cleaned_aligned_basis,21,-0.01013575540855527,6
cleaned_aligned_basis,22,0.011328727006912231,6
cleaned_aligned_basis,23,0.019292710348963737,6
cleaned_aligned_basis,24,0.03408547677099705,6
cleaned_aligned_basis,25,0.030939836986362934,6
cleaned_aligned_basis,26,0.03839175030589104,6
cleaned_aligned_basis,27,0.043591661378741264,6
cleaned_aligned_basis,28,0.05605276860296726,6
cleaned_aligned_basis,29,0.03817570395767689,6
cleaned_aligned_basis,30,0.044781140983104706,6
cleaned_aligned_basis,31,0.05066560581326485,6
cleaned_aligned_basis,32,0.058269212022423744,6
cleaned_aligned_basis,33,0.06793422996997833,6
cleaned_aligned_basis,34,0.05504497140645981,6
cleaned_aligned_basis,35,0.0638416912406683,6
cleaned_aligned_basis,36,0.07065419480204582,6
cleaned_aligned_basis,37,0.08339400961995125,6
cleaned_aligned_basis,38,0.09008484706282616,6
cleaned_aligned_basis,39,0.09960263967514038,6
cleaned_aligned_basis,40,0.08944843709468842,6
cleaned_aligned_basis,41,0.08864365145564079,6
cleaned_aligned_basis,42,0.08789117261767387,6
cleaned_aligned_basis,43,0.07540053129196167,6
cleaned_aligned_basis,44,0.07974777556955814,6
cleaned_aligned_basis,45,0.08181663602590561,6
cleaned_aligned_basis,46,0.10344474390149117,6
cleaned_aligned_basis,47,0.1802462637424469,6
raw,0,0.045682246098294854,6
raw,1,0.05919030122458935,6
raw,2,0.0833095945417881,6
raw,3,0.09116526693105698,6
raw,4,0.09640610963106155,6
raw,5,0.10208392888307571,6
raw,6,0.06673695705831051,6
raw,7,0.05925792455673218,6
raw,8,0.0646005105227232,6
raw,9,0.02298821322619915,6
raw,10,0.03277723118662834,6
raw,11,0.050622571259737015,6
raw,12,0.05503411218523979,6
raw,13,0.053788596764206886,6
raw,14,0.04236781597137451,6
raw,15,0.015946224331855774,6
raw,16,0.0386553555727005,6
raw,17,0.021606942638754845,6
raw,18,0.0312813650816679,6
raw,19,0.02126104850322008,6
raw,20,0.019574319943785667,6
raw,21,0.024167189374566078,6
raw,22,0.042216913774609566,6
raw,23,0.04509240947663784,6
raw,24,0.05892476066946983,6
raw,25,0.05920795537531376,6
raw,26,0.06143289804458618,6
raw,27,0.07036332972347736,6
raw,28,0.07424833625555038,6
raw,29,0.05727379024028778,6
raw,30,0.06073039956390858,6
raw,31,0.0633793342858553,6
raw,32,0.06986791267991066,6
raw,33,0.06854959577322006,6
raw,34,0.07487830147147179,6
raw,35,0.08016019873321056,6
raw,36,0.0824480913579464,6
raw,37,0.09628178179264069,6
raw,38,0.10190026834607124,6
raw,39,0.10624827444553375,6
raw,40,0.0993337407708168,6
raw,41,0.09572169929742813,6
raw,42,0.100359246134758,6
raw,43,0.10216455906629562,6
raw,44,0.10093236714601517,6
raw,45,0.10060643404722214,6
raw,46,0.12281012162566185,6
raw,47,0.2802506536245346,6
