comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes,stability
cross_model_stability,cross_model,37,angry,reliability,,,,,,,,,0.9969582349432564,raw,,,True,True,aligned versus misaligned full emotion direction,0.9969582349432564
cross_model_stability,cross_model,38,angry,reliability,,,,,,,,,0.9970463914578509,raw,,,True,True,aligned versus misaligned full emotion direction,0.9970463914578509
cross_model_stability,cross_model,39,angry,reliability,,,,,,,,,0.9969019120113095,raw,,,True,True,aligned versus misaligned full emotion direction,0.9969019120113095
cross_model_stability,cross_model,40,angry,reliability,,,,,,,,,0.997281729462437,raw,,,True,True,aligned versus misaligned full emotion direction,0.997281729462437
cross_model_stability,cross_model,41,angry,reliability,,,,,,,,,0.9972800221080269,raw,,,True,True,aligned versus misaligned full emotion direction,0.9972800221080269
cross_model_stability,cross_model,42,angry,reliability,,,,,,,,,0.9972464122353217,raw,,,True,True,aligned versus misaligned full emotion direction,0.9972464122353217
cross_model_stability,cross_model,43,angry,reliability,,,,,,,,,0.9971530931670611,raw,,,True,True,aligned versus misaligned full emotion direction,0.9971530931670611
cross_model_stability,cross_model,44,angry,reliability,,,,,,,,,0.9970027735081695,raw,,,True,True,aligned versus misaligned full emotion direction,0.9970027735081695
cross_model_stability,cross_model,45,angry,reliability,,,,,,,,,0.9967623864610842,raw,,,True,True,aligned versus misaligned full emotion direction,0.9967623864610842
cross_model_stability,cross_model,46,angry,reliability,,,,,,,,,0.9968069661058887,raw,,,True,True,aligned versus misaligned full emotion direction,0.9968069661058887
cross_model_stability,cross_model,47,angry,reliability,,,,,,,,,0.9949565607375089,raw,,,True,True,aligned versus misaligned full emotion direction,0.9949565607375089
cross_model_stability,cross_model,0,anxious,reliability,,,,,,,,,0.9997783771893883,raw,,,True,True,aligned versus misaligned full emotion direction,0.9997783771893883
cross_model_stability,cross_model,1,anxious,reliability,,,,,,,,,0.9997761390847663,raw,,,True,True,aligned versus misaligned full emotion direction,0.9997761390847663
cross_model_stability,cross_model,2,anxious,reliability,,,,,,,,,0.9997009013248914,raw,,,True,True,aligned versus misaligned full emotion direction,0.9997009013248914
cross_model_stability,cross_model,3,anxious,reliability,,,,,,,,,0.9995788140640394,raw,,,True,True,aligned versus misaligned full emotion direction,0.9995788140640394
cross_model_stability,cross_model,4,anxious,reliability,,,,,,,,,0.9994677977406476,raw,,,True,True,aligned versus misaligned full emotion direction,0.9994677977406476
cross_model_stability,cross_model,5,anxious,reliability,,,,,,,,,0.9990949007263633,raw,,,True,True,aligned versus misaligned full emotion direction,0.9990949007263633
cross_model_stability,cross_model,6,anxious,reliability,,,,,,,,,0.9987397344609236,raw,,,True,True,aligned versus misaligned full emotion direction,0.9987397344609236
cross_model_stability,cross_model,7,anxious,reliability,,,,,,,,,0.9984304803995983,raw,,,True,True,aligned versus misaligned full emotion direction,0.9984304803995983
cross_model_stability,cross_model,8,anxious,reliability,,,,,,,,,0.9972650529171919,raw,,,True,True,aligned versus misaligned full emotion direction,0.9972650529171919
cross_model_stability,cross_model,9,anxious,reliability,,,,,,,,,0.9970663450665719,raw,,,True,True,aligned versus misaligned full emotion direction,0.9970663450665719
cross_model_stability,cross_model,10,anxious,reliability,,,,,,,,,0.9958430494250019,raw,,,True,True,aligned versus misaligned full emotion direction,0.9958430494250019
cross_model_stability,cross_model,11,anxious,reliability,,,,,,,,,0.9955931226971775,raw,,,True,True,aligned versus misaligned full emotion direction,0.9955931226971775
cross_model_stability,cross_model,12,anxious,reliability,,,,,,,,,0.9960413746613618,raw,,,True,True,aligned versus misaligned full emotion direction,0.9960413746613618
cross_model_stability,cross_model,13,anxious,reliability,,,,,,,,,0.9966552701203277,raw,,,True,True,aligned versus misaligned full emotion direction,0.9966552701203277
cross_model_stability,cross_model,14,anxious,reliability,,,,,,,,,0.9969408511144489,raw,,,True,True,aligned versus misaligned full emotion direction,0.9969408511144489
cross_model_stability,cross_model,15,anxious,reliability,,,,,,,,,0.9974549795122593,raw,,,True,True,aligned versus misaligned full emotion direction,0.9974549795122593
cross_model_stability,cross_model,16,anxious,reliability,,,,,,,,,0.9970971862659171,raw,,,True,True,aligned versus misaligned full emotion direction,0.9970971862659171
cross_model_stability,cross_model,17,anxious,reliability,,,,,,,,,0.9969978279296522,raw,,,True,True,aligned versus misaligned full emotion direction,0.9969978279296522
cross_model_stability,cross_model,18,anxious,reliability,,,,,,,,,0.9969368433138736,raw,,,True,True,aligned versus misaligned full emotion direction,0.9969368433138736
cross_model_stability,cross_model,19,anxious,reliability,,,,,,,,,0.9968170857545376,raw,,,True,True,aligned versus misaligned full emotion direction,0.9968170857545376
cross_model_stability,cross_model,20,anxious,reliability,,,,,,,,,0.9969546377809305,raw,,,True,True,aligned versus misaligned full emotion direction,0.9969546377809305
cross_model_stability,cross_model,21,anxious,reliability,,,,,,,,,0.9970206206965494,raw,,,True,True,aligned versus misaligned full emotion direction,0.9970206206965494
cross_model_stability,cross_model,22,anxious,reliability,,,,,,,,,0.9960663071192889,raw,,,True,True,aligned versus misaligned full emotion direction,0.9960663071192889
cross_model_stability,cross_model,23,anxious,reliability,,,,,,,,,0.9955537505946335,raw,,,True,True,aligned versus misaligned full emotion direction,0.9955537505946335
