comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
individual,aligned,0,angry,cosine,0.08424804359674454,,0.04708969704806805,0.10698933042585851,0.07462686567164178,0.1953867028493894,0.009950248756218905,0.08988216631114478,0.5486980769492701,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,1,angry,cosine,0.07544607669115067,,0.03463578466325999,0.1125046316534281,0.10945273631840796,0.26713888186187706,0.009950248756218905,0.10105077959597109,0.561161796309772,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,2,angry,cosine,0.07489366084337234,,0.03025658931583166,0.12011414151638748,0.12437810945273632,0.28887818969667794,0.009950248756218905,0.11375595182180404,0.5642184623758314,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,3,angry,cosine,0.053622134029865265,,0.003802114439895377,0.12334888074547054,0.208955223880597,0.3808804080861515,0.009950248756218905,0.11845642700791355,0.5832685374528657,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,4,angry,cosine,0.08940614014863968,,0.029661320801824334,0.15518624559044839,0.09950248756218906,0.2513747054202671,0.009950248756218905,0.11254274807870379,0.581012871073091,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,5,angry,cosine,0.12855926156044006,,0.06452388856559992,0.18548229821026327,0.024875621890547265,0.07703418391911411,0.009950248756218905,0.10778265073895447,0.5897132242661344,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,6,angry,cosine,0.14038126170635223,,0.08307370953261853,0.1887743525207043,0.01990049751243781,0.0629817943250779,0.009950248756218905,0.09854592718183991,0.632296321189199,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,7,angry,cosine,0.14929798245429993,,0.09223635699599982,0.19705101661384106,0.014925373134328358,0.048846675712347354,0.009950248756218905,0.09269547536969183,0.6684522221054102,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,8,angry,cosine,0.18198975920677185,,0.12825279980897905,0.21755536906421186,0.004975124378109453,0.027554535017221583,0.009950248756218905,0.1019393473863601,0.6843456196770867,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,9,angry,cosine,0.1602998971939087,,0.114156205765903,0.19479169882833958,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.08931494764983637,0.6914651529792224,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,10,angry,cosine,0.16409625113010406,,0.12546459566801788,0.1913578510284424,0.014925373134328358,0.048846675712347354,0.009950248756218905,0.10375276580452915,0.7444473681015135,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,11,angry,cosine,0.16130287945270538,,0.11359783802181483,0.19407515972852707,0.014925373134328358,0.048846675712347354,0.009950248756218905,0.10688685104250906,0.722025448444613,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,12,angry,cosine,0.17573557794094086,,0.1222479371353984,0.21333451308310034,0.014925373134328358,0.048846675712347354,0.009950248756218905,0.12410193383693692,0.7107070263475402,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,13,angry,cosine,0.18615028262138367,,0.1378232967108488,0.2213587995618582,0.014925373134328358,0.048846675712347354,0.009950248756218905,0.12406996078789233,0.7456856706850503,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,14,angry,cosine,0.19084316492080688,,0.142158080637455,0.22340510040521622,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.1274806663393974,0.7356736797077299,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,15,angry,cosine,0.1732552945613861,,0.13623769097030164,0.20078164041042332,0.014925373134328358,0.048846675712347354,0.009950248756218905,0.11672136597335332,0.7428684168281589,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,16,angry,cosine,0.20689336955547333,,0.1521143049001694,0.24120875597000124,0.014925373134328358,0.048846675712347354,0.009950248756218905,0.134549993276596,0.7615536713373228,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,17,angry,cosine,0.20859535038471222,,0.15696110092103482,0.23976435475051405,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.13890449479222292,0.7554004887847103,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,18,angry,cosine,0.21075260639190674,,0.1626705650240183,0.24259732700884346,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.13627683445811273,0.7530479951223452,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,19,angry,cosine,0.21114641427993774,,0.16421667411923407,0.24540432542562485,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.13749131411314003,0.7418699676307653,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,20,angry,cosine,0.22025328874588013,,0.16983637884259226,0.25355290696024896,0.004975124378109453,0.027554535017221583,0.009950248756218905,0.15261721536517142,0.7428307815738385,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,21,angry,cosine,0.22398218512535095,,0.17735366970300676,0.25156804695725443,0.004975124378109453,0.027554535017221583,0.009950248756218905,0.14747559875249852,0.7388068115246015,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,22,angry,cosine,0.24136964976787567,,0.19588986374437808,0.26571983098983765,0.004975124378109453,0.027554535017221583,0.009950248756218905,0.14438107982277865,0.7368521308995285,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,23,angry,cosine,0.25181737542152405,,0.20523931160569192,0.2749772273004055,0.004975124378109453,0.027554535017221583,0.009950248756218905,0.1532716587185859,0.7434613250482444,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,24,angry,cosine,0.2613072395324707,,0.21442635357379913,0.28299960419535636,0.004975124378109453,0.027554535017221583,0.009950248756218905,0.1574682921171188,0.7411839167806149,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,25,angry,cosine,0.25810182094573975,,0.21018825471401215,0.2839536026120186,0.004975124378109453,0.027554535017221583,0.009950248756218905,0.14896931871771812,0.7358026207882827,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,26,angry,cosine,0.271064817905426,,0.22239566259086133,0.2928120166063309,0.004975124378109453,0.027554535017221583,0.009950248756218905,0.16102150827646253,0.7248017217526519,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,27,angry,cosine,0.2743484377861023,,0.21978355199098587,0.29982927665114406,0.004975124378109453,0.027554535017221583,0.009950248756218905,0.16446236819028842,0.7196312187097389,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,28,angry,cosine,0.2677994668483734,,0.21743989177048206,0.28948823139071467,0.004975124378109453,0.027554535017221583,0.009950248756218905,0.166221260279417,0.7320492176120724,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,29,angry,cosine,0.250686913728714,,0.2017551325261593,0.27130390107631686,0.004975124378109453,0.027554535017221583,0.009950248756218905,0.15179768055677412,0.7119175982481758,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,30,angry,cosine,0.2614315450191498,,0.21337755359709265,0.279938617348671,0.004975124378109453,0.027554535017221583,0.009950248756218905,0.16077613979578015,0.740230003504997,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,31,angry,cosine,0.29006046056747437,,0.24422587230801582,0.30736144483089445,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.1740902327001094,0.7782903978072766,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
