comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
subspace,aligned,10,all_six_negative,explained_fraction,0.22880709363047,0.052352686095622665,0.03615629469414822,0.05862636422999763,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002324974138110533,0.6075605321025952,raw,6.0,4.9745027965452095,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,11,all_six_negative,explained_fraction,0.24122662508333118,0.058190284649094016,0.0373854462930669,0.06526754509977785,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.00232674478784456,0.6029869700784135,raw,6.0,4.917986535953488,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,12,all_six_negative,explained_fraction,0.2623583511646285,0.06883190442582257,0.04588782517970573,0.07572063750575984,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.00251671857827734,0.5939661428601197,raw,6.0,4.873801207249368,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,13,all_six_negative,explained_fraction,0.26683845344519974,0.07120276023702621,0.048680836726019944,0.07909728445062253,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0025556055929580462,0.6034818511723963,raw,6.0,5.207281580888753,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,14,all_six_negative,explained_fraction,0.2771927910090791,0.07683584338740304,0.051504932984993076,0.08639405317036136,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0021403318743445743,0.608281129258941,raw,6.0,5.37434398396457,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,15,all_six_negative,explained_fraction,0.2519246517545417,0.06346603016164709,0.04466855643310846,0.07160081326179771,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002383086943707276,0.6259624713936847,raw,6.0,5.513128460777299,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,16,all_six_negative,explained_fraction,0.2934616289433939,0.0861197276621101,0.058537637441829105,0.09827490608987474,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0025833022044560133,0.6460080881585337,raw,6.0,5.823350651466525,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,17,all_six_negative,explained_fraction,0.30130107005111423,0.09078233481394647,0.060652591144871267,0.10099413613890515,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0021306358648611927,0.6429118096989297,raw,6.0,5.750660229479907,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,18,all_six_negative,explained_fraction,0.2952999969240049,0.08720208818331737,0.05922545799365915,0.09819958896410652,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0022908568820334653,0.6509300442729213,raw,6.0,5.733959405483913,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,19,all_six_negative,explained_fraction,0.3094828358161368,0.09577962566479775,0.06488057912983336,0.10583693516031355,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0023960031227130466,0.6481880791845361,raw,6.0,5.826843284123418,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,20,all_six_negative,explained_fraction,0.31997165375432934,0.10238185920628032,0.06939953525821702,0.1131219316837032,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0027523542355736073,0.6389407902477906,raw,6.0,5.8480722703628585,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,21,all_six_negative,explained_fraction,0.3185353385286282,0.10146476189154767,0.07279288543054221,0.10892109021413707,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0020435429947593797,0.6347997298135749,raw,6.0,5.821410613049199,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,22,all_six_negative,explained_fraction,0.31647850990274395,0.10015864723026117,0.07547068680641071,0.10731869775010854,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0023385410516464427,0.6411102513960103,raw,6.0,5.863022557846509,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,23,all_six_negative,explained_fraction,0.3300037158229336,0.10890245245694347,0.08212705156009165,0.11391437619110098,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024278309970594074,0.6450254750937606,raw,6.0,5.975675262578955,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,24,all_six_negative,explained_fraction,0.3246160572245278,0.10537558460799791,0.08299202253888387,0.11401066116146118,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0022960222260860726,0.654386848590626,raw,6.0,5.942450733321455,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,25,all_six_negative,explained_fraction,0.31120295512974494,0.0968472792814861,0.07537438724274526,0.10914643512181041,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002241910995376998,0.6557484678122052,raw,6.0,5.942305762382196,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,26,all_six_negative,explained_fraction,0.3293636675553186,0.10848042550549045,0.08476525595912236,0.12005432330931619,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002610912806732649,0.6493859877347263,raw,6.0,5.7815433501326465,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,27,all_six_negative,explained_fraction,0.3428054585506475,0.11751558241211972,0.08854525003891309,0.12982808004836918,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002419049164974576,0.64961787573541,raw,6.0,5.8903426340506,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,28,all_six_negative,explained_fraction,0.3372704584131986,0.11375136211824924,0.08508629519726776,0.12698193888120046,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002173827052868263,0.6517495521852541,raw,6.0,6.0515166666184825,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,29,all_six_negative,explained_fraction,0.3176598577500925,0.10090778522580891,0.07249294358248544,0.11346490340290973,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.001973626040535099,0.6473700203815465,raw,6.0,5.91735112345917,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,30,all_six_negative,explained_fraction,0.3330355025957531,0.1109126459892058,0.08377593061295989,0.12170122715748354,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0025061771556892966,0.6565686597646716,raw,6.0,6.29577066270057,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,31,all_six_negative,explained_fraction,0.3544653729584012,0.12564570062653832,0.09825337251293012,0.1367058073344282,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0020783865078745586,0.6895288758037941,raw,6.0,6.895626679909915,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,32,all_six_negative,explained_fraction,0.32915698909447466,0.10834432346974,0.08760801386362059,0.11881090173774438,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002362704479393813,0.6851468090832906,raw,6.0,6.854869674079177,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,33,all_six_negative,explained_fraction,0.3031814044170166,0.0919189639842745,0.07392016492386043,0.10408710173111538,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0025474781066922385,0.6920265067268833,raw,6.0,6.917898570491114,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,34,all_six_negative,explained_fraction,0.30184431619284824,0.09110999121792812,0.07669262917113409,0.10436081965557288,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0025979521305192366,0.688007129983552,raw,6.0,6.934727407371283,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,35,all_six_negative,explained_fraction,0.28012221464978887,0.0784684551403025,0.0660019151725636,0.09276095284584081,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0023777880417593235,0.6859766159331673,raw,6.0,6.853262684054827,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,36,all_six_negative,explained_fraction,0.2634870245576486,0.06942541211024292,0.05856171889930763,0.08247582341518506,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002360554838621133,0.6900575136483025,raw,6.0,6.843066683426723,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,37,all_six_negative,explained_fraction,0.25991832169671625,0.0675575339536376,0.05679791406393336,0.07969295121210057,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0026007406630411483,0.6944160023717401,raw,6.0,6.862644873959141,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,38,all_six_negative,explained_fraction,0.26600360588615085,0.07075791834443466,0.06115406685339346,0.08270064624112945,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0028113747092925277,0.7036145440109906,raw,6.0,6.94359872014175,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,39,all_six_negative,explained_fraction,0.23945719860316106,0.05733974996287365,0.0490596885153497,0.067785560359163,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002310295176102246,0.7071056813813881,raw,6.0,6.927480353856975,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,40,all_six_negative,explained_fraction,0.24200042255557974,0.05856420451707913,0.05178883539155326,0.0696944458996901,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002567797411388626,0.7168247484926338,raw,6.0,7.241940356084118,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,41,all_six_negative,explained_fraction,0.21771040388346916,0.04739781995910328,0.041301740150567465,0.05871159496166853,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002191354749447498,0.7198005873100921,raw,6.0,7.242977699187772,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,42,all_six_negative,explained_fraction,0.20690576161270127,0.04280999418853193,0.03689918054812375,0.05355254658496364,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0025519340893829525,0.7240949620842523,raw,6.0,7.152507560943582,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,43,all_six_negative,explained_fraction,0.21508686623644796,0.046262360027415766,0.041488268796584446,0.05520664446168586,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024070939921321515,0.723198767854887,raw,6.0,7.087595442843854,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,44,all_six_negative,explained_fraction,0.21875960712906187,0.04785576571126137,0.042582514493011515,0.056105837597951375,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024028270996341496,0.7312309493546751,raw,6.0,7.07103738196811,True,True,control=matched_random_subspace;method=exact_rotational_beta
