comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
centroid,aligned,13,all_six_negative,cosine,0.13220608234405518,,0.09258280005306006,0.1625623483210802,0.04477611940298507,0.06368159203980099,0.009950248756218905,0.12414396367967127,0.6034818511723963,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,14,all_six_negative,cosine,0.1167907640337944,,0.07715734988451005,0.148007732629776,0.06467661691542288,0.08933748523569204,0.009950248756218905,0.11976715400815008,0.608281129258941,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,15,all_six_negative,cosine,0.0917685329914093,,0.057724626269191504,0.12208380196243525,0.0845771144278607,0.11122469842567982,0.009950248756218905,0.10513615123927582,0.6259624713936847,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,16,all_six_negative,cosine,0.11736893653869629,,0.07464627753943205,0.14824089109897615,0.06467661691542288,0.08933748523569204,0.009950248756218905,0.12511551603674886,0.6460080881585337,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,17,all_six_negative,cosine,0.107202909886837,,0.06631844080984593,0.14102456346154213,0.0845771144278607,0.11122469842567982,0.009950248756218905,0.12226583696901795,0.6429118096989297,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,18,all_six_negative,cosine,0.11208067089319229,,0.07144836708903313,0.14429494664072992,0.06467661691542288,0.08933748523569204,0.009950248756218905,0.12113032229244705,0.6509300442729213,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,19,all_six_negative,cosine,0.10701380670070648,,0.06586542017757893,0.13646727465093136,0.09950248756218906,0.1290843081887858,0.009950248756218905,0.1251422531902788,0.6481880791845361,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,20,all_six_negative,cosine,0.11063112318515778,,0.06387601457536221,0.1435919038951397,0.0945273631840796,0.12346431109757335,0.009950248756218905,0.1340838447213172,0.6389407902477906,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,21,all_six_negative,cosine,0.11899156868457794,,0.07805099040269853,0.14902952797710897,0.07960199004975124,0.10613598673300166,0.009950248756218905,0.12866574674844738,0.6347997298135749,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,22,all_six_negative,cosine,0.14617601037025452,,0.10942410975694657,0.17245571650564673,0.03980099502487562,0.05789235639981909,0.009950248756218905,0.13996644467115396,0.6411102513960103,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
